maker,CO2EMISSIONS,ENGINESIZE,unique_model_count
rolls royce,376.3333333333333,6.633333333333333,2
aston martin,359.0,5.9,1
bentley,348.6,5.36,2
maserati,347.0,4.7,1
nissan,297.0,3.8,1
porsche,281.24463519313304,3.5633762517882692,5
dodge,279.5,4.65,1
audi,272.28125,3.025,8
ford,266.5686274509804,4.588235294117647,2
volvo,257.3203883495146,3.1864077669902917,2
volkswagen,255.92396313364054,2.0470046082949307,3
hyundai,249.2051282051282,2.9858974358974355,2
kia,245.19354838709677,2.4193548387096775,2
jaguar,242.0,2.0,1
jeep,230.0,2.8,1
land rover,225.0,2.0,1
chevrolet,213.83333333333334,3.1333333333333333,2
subaru,208.5,2.0,1
mazda,196.61041902604757,2.1443941109852775,3
mitsubishi,190.0,2.0,1
honda,178.5367545076283,1.9709893666204346,4
toyota,174.31847591660676,1.8443565780014377,5
