date_reg,type,make,model,colour,fuel,state,modelyear,vehicleclass,enginesize,cylinders,transmission,fueltype,fuelconsumption_city,fuelconsumption_hwy,fuelconsumption_comb,fuelconsumption_comb_mpg,co2emissions
2025-01-01,motokar,PORSCHE,911 CARRERA,grey,petrol,Johor,2014,MINICOMPACT,3.4,6,AM7,z,11.6,8.3,10.1,28,232
2025-01-01,motokar,PORSCHE,911 CARRERA,grey,petrol,Johor,2014,MINICOMPACT,3.4,6,M7,z,12.5,8.6,10.7,26,246
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Selangor,2014,COMPACT,1.8,4,AV,x,7.9,6.0,7.0,40,161
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Selangor,2014,COMPACT,1.8,4,AV7,x,8.1,6.2,7.2,39,166
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Selangor,2014,COMPACT,1.8,4,M5,x,8.5,6.6,7.6,37,175
2025-01-02,motokar,HONDA,CIVIC,blue,petrol,Selangor,2014,COMPACT,1.8,4,AV,x,7.9,6.0,7.0,40,161
2025-01-02,motokar,HONDA,CIVIC,blue,petrol,Selangor,2014,COMPACT,1.8,4,AV7,x,8.1,6.2,7.2,39,166
2025-01-02,motokar,HONDA,CIVIC,blue,petrol,Selangor,2014,COMPACT,1.8,4,M5,x,8.5,6.6,7.6,37,175
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Rakan Niaga,2014,COMPACT,1.8,4,AV,x,7.9,6.0,7.0,40,161
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Rakan Niaga,2014,COMPACT,1.8,4,AV7,x,8.1,6.2,7.2,39,166
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Rakan Niaga,2014,COMPACT,1.8,4,M5,x,8.5,6.6,7.6,37,175
2025-01-02,jip,MAZDA,CX-5,grey,petrol,Rakan Niaga,2014,SUV - SMALL,2.0,4,AS6,x,8.9,7.3,8.2,34,189
2025-01-02,jip,MAZDA,CX-5,grey,petrol,Rakan Niaga,2014,SUV - SMALL,2.0,4,M6,x,9.0,6.8,8.0,35,184
2025-01-02,jip,MAZDA,CX-5,grey,petrol,Rakan Niaga,2014,SUV - SMALL,2.5,4,AS6,x,9.6,7.4,8.6,33,198
